project,unit,type,parent,countries,status,start_year,capacity,geom,route,url
STACK Oil Pipeline,Expansion,oil_pipelines,Phillips 66 [unknown %]; Plains GP Holdings LP [unknown %],,operating,2017,150000,line,"34.9123162893868,-97.77764179129699:34.50364384046302,-97.30797629621816",https://www.gem.wiki/STACK_Oil_Pipeline
Sabah-Zella Oil Pipeline,,oil_pipelines,Libyan National Oil Corporation [100.00%]; Occidental Petroleum [14.25%]; OMV Group [4.75%],,operating,,,line,"28.222,18.1174:28.2306,18.1065:28.2443,18.05:28.2505,17.8561:28.4223,17.6574:28.4882,17.5775:28.4954,17.5152:28.5751,17.3302",https://www.gem.wiki/Sabah-Zella_Oil_Pipeline
Sabo-Dagi Oil Pipeline,,oil_pipelines,Alliance Oil Company Ltd [100.00%],,construction,2025,16353.51,line,"53.086688,142.973724:53.080764,143.020569:53.067433,143.064949:53.03038,143.079742:52.984391,143.072345:52.942809,143.050156:52.924977,143.035362:52.846127,143.064949:52.811865,143.099466:52.711903,143.136449:52.6177,143.138915:52.566776,143.099466:52.470758,143.099466:52.431691,143.09207:52.376036,143.09207:52.341404,143.064949:52.232815,143.09207:52.192025,143.050156:52.151198,143.050156",https://www.gem.wiki/Sabo-Dagi_Oil_Pipeline
Sabz-Rey Oil Pipelines,"Pipeline 2 ""Sabzab PS -Tang Fani  PS Oil Pipeline""",oil_pipelines,Iran Ministry of Petroleum [100.00%],,construction,,450000,line,"33.09053,47.7227:33.927495,49.41277:35.57503,51.444995",https://www.gem.wiki/Sabz_Ab-Tang_Fanni-Shazand-Rey_crude_oil_pipeline_project
Sacagawea Oil Pipeline,,oil_pipelines,Harvest Midstream Co. [unknown %]; Phillips 66 [unknown %],,operating,2016,200000,line,"48.325115,-102.252955:48.325115,-102.277724:48.320914,-102.277977:48.318561,-102.281768:48.315535,-102.288592:48.311501,-102.289098:48.311501,-102.295417:48.310156,-102.295922:48.304777,-102.29668:48.301582,-102.290867:48.296034,-102.290867:48.295866,-102.336362:48.292671,-102.336615:48.292671,-102.342175:48.277366,-102.342428:48.275179,-102.344956:48.275011,-102.354307:48.270132,-102.35456:48.267272,-102.357088:48.264916,-102.357088:48.263066,-102.353296:48.258522,-102.352285:48.257849,-102.351022:48.241861,-102.351274:48.239672,-102.349505:48.235295,-102.353296:48.223678,-102.353296:48.222499,-102.353802:48.22031,-102.358604:48.208689,-102.358857:48.204478,-102.363659:48.19875,-102.363659:48.193106,-102.362143:48.187377,-102.355318:48.187209,-102.353549:48.184176,-102.353549:48.182659,-102.349252:48.180805,-102.348747:48.179457,-102.34167:48.177434,-102.341164:48.175749,-102.336615:48.16985,-102.336868:48.168838,-102.337626:48.163781,-102.337626:48.162264,-102.339142:48.162095,-102.357088:48.160915,-102.358351:48.153833,-102.358604:48.141354,-102.367703:48.14068,-102.369725:48.140848,-102.380593:48.139668,-102.381857:48.124106,-102.383121:48.121913,-102.384132:48.120731,-102.385396:48.113813,-102.385396:48.110269,-102.38767:48.102675,-102.38767:48.101155,-102.386154:48.101155,-102.376044:48.094572,-102.372253:48.092378,-102.372:48.089676,-102.373769:48.088832,-102.374022:48.087482,-102.372758:48.078364,-102.374275:48.078364,-102.393231:48.076844,-102.393989:48.064684,-102.394242:48.06215,-102.396517:48.040524,-102.396517:48.039341,-102.397275:48.039341,-102.401572:48.035961,-102.401824:48.034947,-102.403594:48.034947,-102.413198:48.031736,-102.415978:48.030299,-102.417116:48.018635,-102.417369:48.015761,-102.419896:48.01593,-102.426215:48.014577,-102.428995:48.005277,-102.428995:48.004094,-102.430764:48.003924,-102.436325:48.002064,-102.439105:47.970261,-102.439105:47.968568,-102.441127:47.967384,-102.449468:47.965184,-102.450984:47.964845,-102.456292:47.961968,-102.463116:47.955536,-102.470952:47.954521,-102.471963:47.95469,-102.510128:47.952828,-102.513919:47.952828,-102.52226:47.939326,-102.534518:47.939157,-102.547408:47.937294,-102.549178:47.907823,-102.548925:47.904943,-102.550947:47.904943,-102.563584:47.901893,-102.565101:47.898165,-102.569145:47.875622,-102.570156:47.873757,-102.573442:47.873418,-102.580519:47.84883,-102.581277:47.845437,-102.586332:47.845267,-102.598717:47.846455,-102.600992:47.846455,-102.636124:47.8529,-102.687179:47.852391,-102.729894:47.850186,-102.73874:47.849169,-102.75896:47.847133,-102.777158:47.846116,-102.791312:47.844419,-102.807488:47.842044,-102.816335:47.841875,-102.82695:47.84408,-102.831752:47.84408,-102.842368:47.845267,-102.842873:47.847473,-102.842873:47.84849,-102.870676:47.853239,-102.881291:47.853239,-102.88761:47.851713,-102.889379:47.851713,-102.897973:47.882742,-102.898226:47.88342,-102.901006:47.88342,-102.912127:47.891895,-102.927292:47.892572,-102.932094:47.886301,-102.941699:47.881894,-102.942204;47.847854,-102.8545:47.844122,-102.854247:47.843783,-102.850961:47.839712,-102.850709:47.838015,-102.851972:47.831568,-102.85172:47.828344,-102.850456:47.826817,-102.852731:47.826817,-102.856522:47.827665,-102.859049:47.827496,-102.86461:47.826478,-102.865621:47.820029,-102.865621:47.818162,-102.868148:47.817992,-102.878511:47.817144,-102.879269:47.808827,-102.879269:47.808827,-102.89772:47.807299,-102.899237:47.807129,-102.919962:47.794226,-102.920215;48.295992,-102.290741:48.295908,-102.26357:48.297841,-102.259905:48.311459,-102.259526:48.311963,-102.256872:48.311963,-102.24613:48.324065,-102.245751;48.296959,-102.340027:48.296959,-102.349126:48.306374,-102.37794",https://www.gem.wiki/Sacagawea_Oil_Pipeline
Saddlehorn Oil Pipeline,,oil_pipelines,Magellan Midstream Partners [30.00%]; Plains All American Pipeline [30.00%]; Western Midstream Partners [20.00%]; Chevron [10.00%]; Greenfield Midstream [10.00%],,operating,2016,190000,line,"40.892079,-104.8862312:40.2157345,-104.8424102",https://www.gem.wiki/Saddlehorn_Oil_Pipeline
Saddlehorn Oil Pipeline,Expansion,oil_pipelines,Magellan Midstream Partners [30.00%]; Plains All American Pipeline [30.00%]; Western Midstream Partners [20.00%]; Chevron [10.00%]; Greenfield Midstream [10.00%],,operating,2020,100000,line,"40.461744,-104.7647:40.366156,-104.770679:40.322869,-104.794592:40.281835,-104.824484:40.181424,-104.821495:40.110591,-104.725841:40.06714,-104.660079:40.037395,-104.561435:40.019083,-104.477738:38.293561,-100.178533:38.239581,-100.026084:38.162063,-99.876625:38.049161,-99.652435:37.546651,-98.628637:37.435177,-98.39548:37.401941,-98.32374:37.342552,-98.257977:36.17753,-96.916578:36.114771,-96.86875:35.947974,-96.776086",https://www.gem.wiki/Saddlehorn_Oil_Pipeline
Safaniyah-Juaymah Oil Pipeline,,oil_pipelines,Saudi Aramco [100.00%],,operating,,,line,"26.750553,51.683438:26.750384,49.902101",https://www.gem.wiki/Safaniyah-Juaymah_oil_pipeline
Safiniyah-Kursaniyah Oil Pipelines,Pipeline 1,oil_pipelines,Saudi Aramco [100.00%],,operating,,,line,"26.750553,51.683438:27.141565,49.2081",https://www.gem.wiki/Safiniyah-Kursaniyah_Oil_Pipelines
Safiniyah-Kursaniyah Oil Pipelines,Pipeline 2,oil_pipelines,Saudi Aramco [100.00%],,operating,,,line,"26.750553,51.683438:27.141565,49.2081",https://www.gem.wiki/Safiniyah-Kursaniyah_Oil_Pipelines
Safiniyah-Kursaniyah Oil Pipelines,Pipeline 3,oil_pipelines,Saudi Aramco [100.00%],,operating,,,line,"26.750553,51.683438:27.141565,49.2081",https://www.gem.wiki/Safiniyah-Kursaniyah_Oil_Pipelines
Safiniyah-Kursaniyah Oil Pipelines,Pipeline 4,oil_pipelines,Unknown [unknown %],,operating,,,line,"26.750553,51.683438:27.141565,49.2081",https://www.gem.wiki/Safiniyah-Kursaniyah_Oil_Pipelines
Salahedin Oil Pipeline,,oil_pipelines,Iraq Ministry of Oil [100.00%],,operating,2021,25000,line,"35.466728,44.38129:34.377037,43.77312:33.892023,44.201586:34.087901,43.973304",https://www.gem.wiki/Saladin_Oil_Pipeline
Salavat-Orsk Oil Pipeline,,oil_pipelines,Transneft [100.00%],,operating,1974,,line,"53.43841,55.86869:53.345633,56.093788:53.270757,56.171036:53.179087,56.212234:53.090519,56.206741:52.98255,56.287079:52.913664,56.399689:52.871617,56.485863:52.811478,56.578903:52.71981,56.65624:52.701406,56.68087:52.666545,56.691685:52.652385,56.71443:52.601901,56.769962:52.58094,56.814508:52.564717,56.849871:52.50849,56.878967:52.487589,57.004108:52.466678,57.05595:52.371093,57.143154:52.348868,57.154655:52.336598,57.158432:52.323065,57.251129:52.264691,57.322712:52.252922,57.358932:52.202662,57.421417:52.20403,57.482357:52.18551,57.516861:52.166141,57.529221:52.143392,57.560978:52.135279,57.59016:52.128325,57.6087:52.114834,57.629986:52.099441,57.669811:52.083304,57.685261:52.047212,57.761478:52.02155,57.781391:51.992174,57.861385:51.956538,57.944641:51.86674,58.038025:51.835778,58.214493:51.749989,58.320236:51.616311,58.333282:51.488652,58.3992:51.345196,58.380661:51.258048,58.498764",https://www.gem.wiki/Salavat-Orsk_Oil_Pipeline
Salaya–Mathura Oil Pipeline,,oil_pipelines,Indian Oil Corporation [100.00%],,operating,1978,,line,"22.30869,69.600571:22.46797,70.05429:22.305194,70.804117:22.72247,71.650385:23.124424,72.052784:23.921242,72.367382:24.473025,72.781265:26.08544,74.217526:26.604123,75.943687;23.124424,72.052784:22.855181,72.592844:22.358484,73.114184;26.604123,75.943687:27.496895,77.674538;26.604123,75.943687:28.19434,76.623618:29.399932,76.969954",https://www.gem.wiki/Salaya%e2%80%93Mathura_Oil_Pipeline
Samah-Dahra Oil Pipeline,,oil_pipelines,Libyan National Oil Corporation [100.00%]; ConocoPhillips [16.33%]; TotalEnergies SE [16.33%]; Hess Corporation [8.16%],,operating,,,line,"28.1633,19.1682:28.8848,18.6121:29.2333,18.169:29.4476,17.9656:29.4782,17.9304:29.4805,17.9304",https://www.gem.wiki/Samah-Dahra_Oil_Pipeline
Samsun–Ceyhan Pipeline,,oil_pipelines,Eni S.p.A. [100.00%]; Rosneft [unknown %]; Transneft [unknown %]; Çalık Holding [unknown %],,cancelled,,1500000,line,"41.126465,37.287771:40.317814,36.555657:38.480499,36.497995:38.019951,36.494407:37.576362,36.351986:37.372281,36.097347:37.028939,35.814537",https://www.gem.wiki/Samsun%e2%80%93Ceyhan_Pipeline
Sandpiper Crude Oil Pipeline,,oil_pipelines,Enbridge [unknown %]; Marathon Petroleum [unknown %],,cancelled,,375000,line,"48.426606,-102.91221:48.433467,-102.705218:48.404943,-102.552958:48.408203,-102.445905:48.46608,-102.084669:48.480931,-101.469668:48.560902,-100.741964:48.574067,-99.056545:48.301784,-98.535349:48.147609,-98.202375:48.039288,-97.792287:47.973615,-97.474751:47.875127,-96.706233:47.902212,-96.209355:47.725945,-95.357765:47.572772,-95.333227:47.274627,-95.101989:47.121178,-95.071364:46.85015,-95.084259:46.847844,-94.883115:46.757267,-94.2663:46.814024,-94.143366:46.848015,-93.938965:46.834847,-93.752802:46.657896,-93.534776:46.642075,-93.404965:46.605847,-93.346504:46.582774,-93.266006:46.503492,-93.205388:46.483869,-92.573013:46.41099,-92.381881:46.444933,-92.150322",https://www.gem.wiki/Sandpiper_Crude_Oil_Pipeline
Santa Cruz-Cochabamba Oil Pipeline,,oil_pipelines,YPFB [98.55%]; Other [1.45%],,operating,1966,35000,line,"-17.452532,-66.122037:-17.5452,-66.0912:-17.5822,-66.0738:-17.6013,-66.0203:-17.6,-65.9346:-17.5822,-65.8128:-17.5554,-65.7284:-17.549,-65.6883:-17.5809,-65.6053:-17.6064,-65.5397:-17.6115,-65.4807:-17.623,-65.4111:-17.6281,-65.3736:-17.6562,-65.3161:-17.6881,-65.2732:-17.7098,-65.1916:-17.7289,-65.1568:-17.7837,-65.1032:-17.8143,-65.0617:-17.8385,-65.0309:-17.8411,-64.9546:-17.8372,-64.8542:-17.836,-64.8114:-17.8627,-64.7645:-17.9226,-64.7016:-17.9812,-64.6494:-18.0639,-64.5446:-18.0767,-64.483:-18.0792,-64.3973:-18.0894,-64.3398:-18.0945,-64.1965:-18.0996,-64.0975:-18.1238,-64.0493:-18.1288,-63.985:-18.1416,-63.9114:-18.1479,-63.8484:-18.1467,-63.7762:-18.1428,-63.6838:-18.1174,-63.6182:-18.0958,-63.5472:-18.0932,-63.4682:-18.0436,-63.4147:-17.9939,-63.3692:-17.9341,-63.3384:-17.915,-63.3022:-17.9048,-63.238:-17.879678,-63.195752",https://www.gem.wiki/Santa_Cruz-Cochabamba_Oil_Pipeline
Santiago-Porvenir Oil Pipeline,,oil_pipelines,Ecopetrol [100.00%],,operating,,39000,line,"4.735697,-72.31982:4.735649,-72.356708:4.74124,-72.414014:4.745433,-72.460138:4.75382,-72.524432:4.770592,-72.591522:4.784569,-72.648828:4.798546,-72.704736:4.805535,-72.738281:4.806932,-72.755053:4.806932,-72.792791:4.818114,-72.822143:4.830693,-72.844506:4.84467,-72.868267:4.867034,-72.887835:4.896419,-72.912918:4.915038,-72.941062",https://www.gem.wiki/Santiago-Porvenir_Oil_Pipeline
Sapugaskanda Oil Pipeline,,oil_pipelines,Ceylon Petroleum Corporation [100.00%],,operating,1969,50000,line,"6.962805,79.95702:6.94056,79.846406",https://www.gem.wiki/Sapugaskanda_Oil_Pipeline
Saratov-Kuzmichi Oil Pipeline,,oil_pipelines,Transneft [100.00%],,operating,1957,,line,"51.42683,45.93345:51.405845,45.873585:51.361706,45.814533:51.305399,45.764751:51.233118,45.745697:51.120765,45.76561:51.027144,45.854874:50.886142,45.961304:50.821987,45.65094:50.78971,45.541039:50.666455,45.369377:50.614278,45.332985:50.589473,45.29728:50.569446,45.232048:50.551152,45.203896:50.545053,45.17231:50.51716,45.142098:50.500155,45.083733:50.493177,45.080986:50.476163,45.043221:50.43365,45.01074:50.347213,44.817314:50.27173,44.77878:49.81205,44.72948:49.734688,44.70398:49.685845,44.661408:49.617828,44.636689:49.559961,44.639435:49.474371,44.59755:49.338099,44.58931:49.295576,44.596177:49.287515,44.592744:49.221634,44.585877:48.94756,44.44993:48.7109,44.480896",https://www.gem.wiki/Saratov-Kuzmichi_Oil_Pipeline
Sardinas-Araguaney Oil Pipeline,,oil_pipelines,Asociación Casanare [33.34%]; Asociación Garcero [33.33%]; Asociación Orocue [33.33%],,operating,,18500,line,"4.978614,-71.499972:5.367823,-72.160569:5.417695,-72.291181",https://www.gem.wiki/Sardinas-Araguaney_Oil_Pipeline
Sarir-Tobruk Oil Pipeline,,oil_pipelines,Libyan National Oil Corporation [100.00%],,operating,1969,,line,"27.6468,22.4986:27.7642,22.4713:29.8693,23.2675:31.8098,23.956:31.9411,23.9377:32.0034,23.9732:32.0448,23.9768",https://www.gem.wiki/Sarir-Tobruk_Oil_Pipeline
Saskatchewan Oil Pipeline,,oil_pipelines,James Richardson & Sons Ltd [100.00%],,operating,,175000,line,"49.671583,-103.847377:49.731683,-101.23528",https://www.gem.wiki/Saskatchewan_Oil_Pipeline
Saudi-Omani Oil Pipeline,,oil_pipelines,Unknown [unknown %],,shelved,,,line,"23.539033,50.083866:20.374612,56.897213:19.603273,58.861103",https://www.gem.wiki/Saudi-Omani_Oil_Pipeline
Sea Port Oil Terminal (SPOT) Pipelines,Onshore Pipeline (ECHO Terminal to Oyster Creek Terminal),oil_pipelines,Enbridge [unknown %]; Enterprise Products Partners [unknown %],,proposed,2023,2000000,line,"29.601156,-95.188628:29.596743,-95.323972:29.526108,-95.32228:29.511386,-95.327355:29.495189,-95.339198:29.487826,-95.354424:29.487451,-95.36999:29.48813,-95.382469:29.48134,-95.383249:29.473192,-95.380909:29.464364,-95.379349:29.455535,-95.384029:29.444668,-95.396509:29.426326,-95.408989:29.409341,-95.419129:29.390993,-95.417569:29.3774,-95.408209:29.365845,-95.395729:29.356328,-95.389489:29.335931,-95.387929:29.26519,-95.386369:29.240691,-95.390269:29.208017,-95.396509:29.180099,-95.396509:29.146044,-95.393389:29.131737,-95.393389:29.109251,-95.382469:29.089486,-95.36999",https://www.gem.wiki/Sea_Port_Oil_Terminal_(SPOT)_Pipelines
Sea Port Oil Terminal (SPOT) Pipelines,Onshore Pipeline (Oyster Creek to Shore Crossing),oil_pipelines,Enbridge [unknown %]; Enterprise Products Partners [unknown %],,proposed,2023,2000000,line,"29.089486,-95.36999:29.042444,-95.32631:29.015164,-95.31071:28.998793,-95.29901:28.989241,-95.29745:28.979689,-95.29511:28.975595,-95.28575:28.974913,-95.27327:28.971501,-95.262351",https://www.gem.wiki/Sea_Port_Oil_Terminal_(SPOT)_Pipelines
Sea Port Oil Terminal (SPOT) Pipelines,Offshore Pipeline (Shore Crossing to SPOT),oil_pipelines,Enbridge [unknown %]; Enterprise Products Partners [unknown %],,proposed,2023,2000000,line,"28.971501,-95.262351:28.962629,-95.255331:28.957852,-95.250651:28.953757,-95.243631:28.95171,-95.227251:28.957852,-95.203071:28.963312,-95.182791:28.967406,-95.170312:28.969454,-95.160172:28.969454,-95.150812:28.966724,-95.144572:28.961947,-95.139892:28.929867,-95.118052:28.810333,-95.026793:28.778206,-95.003393:28.770685,-95.003393:28.762481,-95.005733:28.749488,-95.019773:28.703661,-95.077492:28.696819,-95.087632:28.689977,-95.097772:28.683819,-95.099332:28.676976,-95.100112:28.562633,-95.107132:28.540708,-95.108692:28.529744,-95.112592:28.522206,-95.118832:28.513296,-95.120392:28.500959,-95.118052:28.494104,-95.113372:28.483135,-95.104792:28.470108,-95.093872:28.455709,-95.086852",https://www.gem.wiki/Sea_Port_Oil_Terminal_(SPOT)_Pipelines
Seahawk Oil Pipeline,Blackhawk Pipeline,oil_pipelines,Max Midstream [100.00%],,proposed,2022,570000,line,"28.64651,-96.5468:28.64652,-96.5456:28.64606,-96.5456:28.64583,-96.5453:28.64592,-96.5407:28.64556,-96.5407:28.6459,-96.5209:28.66011,-96.506:28.67983,-96.5065:28.6928,-96.5061:28.69447,-96.5075:28.69657,-96.5087:28.6974,-96.5088:28.69987,-96.5101:28.70599,-96.5081:28.70599,-96.5081:28.71197,-96.506:28.72122,-96.5026:28.7238,-96.5011:28.74177,-96.494:28.7468,-96.4926:28.76737,-96.5033:28.80134,-96.5382:28.82425,-96.5385:28.82635,-96.5412:28.82623,-96.5484:28.83178,-96.5525:28.83332,-96.5535:28.83511,-96.5536:28.83866,-96.5527:28.8407,-96.553:28.84074,-96.557:28.84052,-96.5578:28.84041,-96.5629:28.84436,-96.5658:28.84523,-96.5677:28.84863,-96.5719:28.85254,-96.5714:28.85276,-96.5717:28.85482,-96.5726:28.85733,-96.5736:28.85786,-96.5738:28.85906,-96.5744:28.86256,-96.5761:28.863,-96.5764:28.86355,-96.5769:28.86648,-96.5834:28.86699,-96.5845:28.87257,-96.5852:28.87811,-96.5885:28.88403,-96.5884:28.88601,-96.5897:28.88908,-96.5913:28.89019,-96.5921:28.89423,-96.5922:28.89481,-96.593:28.89931,-96.5938:28.91308,-96.5949:28.91418,-96.5955:28.91601,-96.5979:28.91825,-96.6079:28.91809,-96.6311",https://www.gem.wiki/Seahawk_Oil_Pipeline
Seahawk Oil Pipeline,Nighthawk Lateral,oil_pipelines,Max Midstream [100.00%],,proposed,2022,400000,line,"28.96985,-96.9911:28.96981,-96.9888:28.96351,-96.9811:28.96186,-96.9746:28.96123,-96.9606:28.957,-96.9571:28.95614,-96.9527:28.95567,-96.9516:28.95533,-96.9508:28.95537,-96.9491:28.95311,-96.938:28.95235,-96.9327:28.95164,-96.9317:28.95186,-96.9291:28.95114,-96.9239:28.94988,-96.9134:28.94783,-96.8863:28.94733,-96.8801:28.94567,-96.8693:28.94194,-96.84:28.94005,-96.8367:28.93851,-96.8216:28.94103,-96.8175:28.94104,-96.8173:28.93705,-96.8141:28.93714,-96.8131:28.93366,-96.8102:28.93234,-96.7969:28.93234,-96.7969:28.93175,-96.7909:28.93026,-96.7842:28.92627,-96.7813:28.92626,-96.7808:28.9292,-96.7761:28.92997,-96.7456:28.92503,-96.7418:28.91884,-96.7367:28.92018,-96.7225:28.91831,-96.7123:28.91777,-96.7118:28.91772,-96.7117:28.91799,-96.7109:28.91268,-96.684:28.91079,-96.6755:28.91231,-96.6696:28.91211,-96.6667:28.91504,-96.6621:28.9152,-96.6581:28.91574,-96.6334:28.91563,-96.6332:28.91507,-96.633:28.91432,-96.6329:28.91424,-96.6328:28.91425,-96.6323:28.91429,-96.6323:28.91452,-96.6323",https://www.gem.wiki/Seahawk_Oil_Pipeline
Seahawk Oil Pipeline,,oil_pipelines,Max Midstream [100.00%],,operating,2021,140000,line,"28.978489580037383,-96.64601402692975:28.648236981962693,-96.54925275376036",https://www.gem.wiki/Seahawk_Oil_Pipeline
Seahorse Pipeline,,oil_pipelines,Blackstone Group [unknown %]; True Companies [unknown %],,proposed,2022,800000,line,"29.012302,-88.948329:29.32385,-89.122801:29.403496,-89.238472:29.861516,-90.096065:29.857505,-90.306807:29.953337,-90.573031:29.961971,-90.863371:30.401116,-91.488977:30.630805,-91.884453:30.854434,-92.181655:31.568266,-93.057188:32.016248,-93.653817:32.286131,-93.971052:32.510617,-94.317996:32.624264,-94.539595:32.669666,-94.68559:33.936034,-95.504454:35.966283,-96.609714:36.131413,-96.726875",https://www.gem.wiki/Seahorse_Pipeline
Seaway Oil Pipeline System,Mainline,oil_pipelines,Enbridge [unknown %]; Enterprise Products Partners [unknown %],,operating,1976,350000,line,"35.986089,-96.8242896:35.145082,-96.775358:34.514617,-96.518305:32.3484,-96.402751:31.765196,-96.307158:31.065409,-96.037776:29.607588,-95.900759:29.297874,-95.656313:28.9784106,-95.5044681:28.9429085,-95.4381984",https://www.gem.wiki/Seaway_Oil_Pipeline_System
Seaway Oil Pipeline System,Seaway Twin,oil_pipelines,Enbridge [unknown %]; Enterprise Products Partners [unknown %],,operating,2014,600000,line,"35.986089,-96.8242896:35.145082,-96.775358:34.514617,-96.518305:32.3484,-96.402751:31.765196,-96.307158:31.065409,-96.037776:29.607588,-95.900759:29.297874,-95.656313:28.9784106,-95.5044681:28.9429085,-95.4381984",https://www.gem.wiki/Seaway_Oil_Pipeline_System
Seaway Oil Pipeline System,Seaway to Beaumont/Port Arthur Crude Pipeline,oil_pipelines,Unknown [unknown %],,operating,,750000,line,"28.9429085,-95.4381984:29.8174782,-95.6814913:29.8319845,-94.2445693",https://www.gem.wiki/Seaway_Oil_Pipeline_System
Serbia-Hungary Oil Pipeline,,oil_pipelines,Gazprom [unknown %]; Government of Serbia [unknown %]; MOL [unknown %]; Other [unknown %],,proposed,2027,,line,"46.333834879589205,20.20271700373544:45.24220358769984,19.826435288129865",https://www.gem.wiki/Serbia-Hungary_Oil_Pipeline
Shabwah-Bir Ali Pipeline,,oil_pipelines,PetroMasila [100.00%],,operating,1991,135000,line,"15.368981,47.026522:14.361558,47.032015:14.332293,47.493441:14.026064,48.355868",https://www.gem.wiki/Shabwah-Bir_Ali_Pipeline
Shaim-Tyumen Oil Pipeline,,oil_pipelines,Transneft [100.00%],,operating,1965,,line,"60.08086,64.69428:60.0339876,64.8179626:59.868262,65.0390625:59.795453,65.216217:59.7023992,65.3398132:59.57946,65.8651:59.526136,65.927925:59.524569,65.934105:59.466013,65.948181:59.457988,65.959167:59.453452,65.960884:59.439315,65.955391:59.378862,65.9729:59.365919,65.983543:59.361895,65.973244:59.302356,66.015816:59.249033,65.995216:59.168539,66.017532:59.167483,66.030922:59.112186,66.045685:59.055211,66.087914:59.036492,66.093063:58.946289,66.053238:58.938496,66.053238:58.925917,66.045341:58.923436,66.039162:58.854785,66.00071:58.843951,66.003456:58.825651,65.987663:58.81845,65.98921:58.800406,65.986118:58.794269,65.980625:58.743002,65.977879:58.697903,65.946121:58.688002,65.942688:58.672832,65.928268:58.605741,65.879002:58.580872,65.838833:58.574608,65.834885:58.555628,65.804844:58.547747,65.787163:58.521672,65.746651:58.432639,65.67421:58.366976,65.564518:58.342749,65.549412:58.324365,65.542717:58.320128,65.545635:58.290907,65.540485:58.279176,65.534134:58.276829,65.537567:58.256424,65.528641:58.250011,65.531731:58.242693,65.533619:58.215126,65.538425:58.212323,65.54512:58.212685,65.561428:58.207801,65.568981:58.198576,65.563316:58.193781,65.546494:58.174233,65.533962:58.148425,65.53688:58.145344,65.532246:58.135649,65.536537:58.123232,65.54924:58.120784,65.556965:58.076696,65.594559:58.045639,65.599537:58.037552,65.590782:58.00164,65.604172:57.989631,65.632668:57.980166,65.639191:57.925879,65.642967:57.892866,65.654125:57.856261,65.696697:57.844477,65.693951:57.832689,65.678673:57.790259,65.682106:57.728536,65.658073:57.70965,65.674553:57.631342,65.683136:57.537298,65.764332:57.508631,65.855656:57.470251,65.98732:57.405023,66.007233:57.326707,65.988693:57.28259,66.05294:57.181453,66.01345:57.133697,65.982208:57.096532,65.934829:57.083105,65.844498:57.10169,65.7394",https://www.gem.wiki/Shaim-Tyumen_Oil_Pipeline
Shaybah-Abqaiq Oil Pipeline,,oil_pipelines,Saudi Aramco [100.00%],,operating,1998,750000,line,"22.516833,54.005162:25.934821,49.688328",https://www.gem.wiki/Shaybah-Abqaia_oil_pipeline
Shenzi Oil Pipeline,,oil_pipelines,Genesis Energy LP [100.00%],,operating,2009,230000,line,"28.589505,-90.38849:28.936223,-91.228944",https://www.gem.wiki/Shenzi_Oil_Pipeline
Ship Shoal Oil Pipeline,,oil_pipelines,Shell [42.50%]; Unocal Pipeline Co [40.00%]; Paloma Pipe Line Co [17.50%],,operating,1973,310000,line,"28.76772,-91.3824:29.35997,-91.0021:30.01396,-90.8458",https://www.gem.wiki/Ship_Shoal_Oil_Pipeline
Shkapovo-Salavat Oil Pipeline,,oil_pipelines,Transneft [100.00%],,operating,1960,,line,"53.74858,54.00686:53.633617,54.253235:53.57301,54.796371:53.531062,54.977303:53.489277,55.065193:53.488665,55.189476:53.465819,55.571251:53.43841,55.86869",https://www.gem.wiki/Shkapovo-Salavat_Oil_Pipeline
Shymkent-Chardzhou Oil Pipeline,,oil_pipelines,Samruk-Kazyna SWF JSC [90.00%],,mothballed,1989,,line,"42.29451737427224,69.5506614977783:39.024737632511204,63.54792464455303",https://www.gem.wiki/Shymkent-Chardzhou_Oil_Pipeline
Shymkent-Jizzakh Oil Pipeline,,oil_pipelines,National Bank of the Republic of Kazakhstan [unknown %]; Samruk-Kazyna SWF JSC [unknown %]; Uzbekneftegaz [unknown %],,shelved,,,line,"42.260116,69.353368:40.113794719463314,67.7974020031774",https://www.gem.wiki/Shymkent-Jizzakh_Oil_Pipeline
Si Racha-Saraburi Oil Pipeline,,oil_pipelines,PTT Public Company Limited [40.40%]; ExxonMobil [20.66%]; Shell [14.87%]; Chevron [9.91%]; Thai Oil [9.19%]; Kuwait Petroleum Corporation [4.96%]; Susco [0.00%],,operating,1993,26000000000,line,"13.08202,100.91992:13.103601,100.947353:13.267969,100.960014:13.385013,101.023321:13.532777,101.044423:13.612778,101.044423:13.64149,101.029652:13.666097,100.879825:13.733753,100.841841:13.782946,100.8334:13.875154,100.753211:13.950941,100.73844:13.991897,100.719448:13.975516,100.668802:14.204751,100.635038:14.42558,100.639259:14.573066,100.836553",https://www.gem.wiki/Si_Racha-Saraburi_Oil_Pipeline
Sierras Blancas-Allen Oil Pipeline,,oil_pipelines,Shell [60.00%]; Pan American Energy [25.00%]; Pluspetrol [15.00%],,operating,2022,125000,line,"-38.5248,-68.43:-38.934084,-67.671492",https://www.gem.wiki/Sierras_Blancas-Allen_Oil_Pipeline
Silvertip Crude Oil Pipeline,,oil_pipelines,Par Pacific Holdings Inc [100.00%],,operating,,40000,line,"45.777045,-108.571934:45.6742426,-108.7942105:45.369242,-108.93269:45.294895,-108.913:45.040258,-108.989904:44.990746,-108.864025",https://www.gem.wiki/Silvertip_Crude_Oil_Pipeline
